,0
Assassin'creed,"<![CDATA[For anyone who has lost faith in the straight single player game in a world of online multiplayer madness, Assassin's Creed is that glimmer of hope you may be searching for. Finally there is a highly satisfying, and richly developed game that has been designed from the ground up to be a solo adventure like non other. This game shows you what a ""current gen"" one-player game can be and raises the bar for what is possible. You will find yourself with many moments of sheer excitement as you play through the twisting storyline that Assassin's Creed lays before you. Though it is not a perfect game, what little flaws it possesses are few and far between and don't really affect the overall enjoyment of this tale.In Assassin's Creed, you first find yourself playing the role of Desmond, a normal run of the mill bartender, who has been abducted by some highly industrialized tech company. You find out that they don't really want Desmond they just want his genetic memories, the memories of Altaïr. This is how the game works. You spend some time in a side story as Desmond, before being thrown into the real game to play as Altaïr, the main character. This works by Desmond in essence reliving a genetic memory of Altaïr through the means of an Animus, a machine which links to Desmond's brain and allows him to relive his ancestor's memories. With all that explanation aside, this two-sided story approach is really an interesting way of organizing the games seven chapters. In the beginning you really don't understand at all what is going on in the ""futuristic"" storyline, but that is intentional. As you progress you find out more and more, piecing together the puzzle of this side story. That leads us to the first big flaw in the game, the ending. I suppose it's not really a flaw, more bad taste in design. Anyone who is familiar with the ending to Star Wars: The Empire Strikes Back would have a good idea of the way this story ends. Basically it leads up to some big event that never happens. Since the story starts and ends in this side story that leaves it as a bit of a let down. However the main story of the game does have an ending, which is satisfying if not entirely predictable.On a gameplay standpoint this game delivers an intense experience. The mix of stealth and action really does go far beyond what Kojima first invented in MGS. To augment the sneaking around, you have four ways to deal with those pesky guards: secret blade, sword, fists, and the short sword/throwing knife combo. You will find a use of all of these as your skills advance. The secret blade is just amazingly satisfying to use and you won't easily tire of it. The game provides a nice cinematic camera touch in key moments when using this blade or performing an equally nice counter kill during a sword fight. Sword fights are not particularly impressive but they do add a different dynamic when faced with no other option and flow fairly smoothly. There are in fact moments when you must face off against a group of guards who enjoy surrounding you and wait for you to attempt to attack one, leaving you vulnerable for a slash across your backside. This can be frustrating for those who enjoy hack and slash sword fighting because timing is everything. If you are off with your timing you are going to get mowed down. This is an example of emphasizing details. The game plays a convincing role in realism details, such as the games use of maps. Basically you have to put together a map of an area from scratch. To do this you must climb to the top of the highest buildings in the city and surveying the surrounding area. That area is then added to a map. There are usually around 10 per area. You might think this to become tedious, and it would, if it wasn't so much fun to do. It truly is just fun to watch Altaïr scale this huge building, perch onto a ledge and take in the sights, before taking a ""leap"" into a conveniently placed pile of hay. That hay plays an important role in the game. The main idea here is stealth, get to know the area, gather information on the target, and assassinate all without being detected by the numerous city guards. There are three different states of awareness: the regular state which is basically no guards around, the yellow state where there is a guard around, and the red state when the guards are watching you. The first two states you really don't have to be that careful, it's the last one that will make them wise to what you are. If you do manage to alert them to your presence, and this is increasingly easy to do as you progress through the story, you only have two options: rely on your sword to take down anywhere from one to a dozen if not more guards that are pursuing you until you are no longer suspected, or the games more supported tactic, run. You must run taking turns at high speeds trying to elude your pursuers. Once they cannot see you, you are then tasked with finding a good hiding place until they give up. You will find that sitting on a bench, blending in with scholars or hiding in a pile of hay can prove most useful in eluding your captors. If no pile of hay is available, take to the roofs and hide in one of the convenient covered gardens. In fact the best way to get away from the heat is the rooftops. All in all the whole system of blending in and sneaking around is highly enjoyable and leaves you feeling quite superior. Satisfaction is delivered on all fronts of this amazing title. Side notes to mention are the fact that though it is great to have in engine cut scenes, you also need a way to skip through them. They become annoying at best on a second play through of any particular chapter. Speaking of a second play through, there really isn't much of a need for it. There isn't much replay value unless you are just itching to find every single last flag in the game. The fact that you have to play the entire chapter over again and cannot just pick up in one spot doesn't help. You might as well just play the whole thing again from start to finish. The whole game won't take you an incredible amount of time to get through but it is a game worth playing if not owning just for its sheer mastery. Through the ingenious gameplay and attention to detail, UbiSoft has delivered to us an experience like non other. The drawbacks aside this is a game worth every penny and it gets a 9 out of 10 only because of the problems it has with the PS3 engine. A 9 out of 10 is ""Above and Beyond"" in my rating system and that is exactly what this game goes.(I use a 10 point scale so with Giant Bomb's 5 point system it equals out to a 4.5)]]>"
Assassin'creed,"<![CDATA[  Assassins Creed is an engaging game the first time you experience what it has to offer. Clearly the best part of the game is the movement of which Altaïr is able to complete, as he can leap and move in ways similar to the activity of 'Parkour'. The movement of Altair is fantastic, especially when watching him crookedly climb upwards to the top of a building or running   across  the roofs of houses to escape the guards of the city. This is undeniably the strongest part of Assassins Creed as it is thrilling to watch his realistic movement. Altaïrs use of the cities is also great, which reminds me of early Tomb Raider climbing in the search for specific ledges. Assassins Creed develops this style of movement but branches out further, and uses more of the buildings small architecture. This allows for a more realistic style of climbing.   The graphics in the game are generally great.  But there are small noticeable glitches throughout, which take away from the immersion.    Assassins Creed Is fantastic for the movement and graphics, but the game is brought down by technical issues and the plot. The end of the game is unsatisfying and left me wanting more from the story, which is   disappointing  as the start of the game nicely set up the base plot. Towards the end of the game I felt the story growing less engaging and more an 'add-on' the game. One of the main reasons for feeling not attached is the dull assassinations that are assigned to you throughout the game. After the second or third killing that you are forced to commit, you soon  realise  that this is all that the game has to offer. There is no different approach to the killings either, just attack from your own angle, and kill. That’s it.  The fighting system is simple and fun to watch, but it easily becomes repetitive.  The motions of these fights are good, but like many other parts of the game it becomes a strain and does not differ in movement or look.    Some of the AI in the game can be considered unfinished as there actions are questionable at points. In the time I spent playing this game, I successfully counted six enemy guards getting stuck in the walls and   that’s  not even considering the civilians in the game. Basically these small bugs withdraw from the games atmosphere and really take away from the games belief.  Putting the issues aside that Assassins Creed has, I still found parts of the game enjoyable. I feel that because of the hype and excitement that built up the game it was a   disappointment  that  Ubisoft  would not work on the things such as - improve the fighting mechanics or 'Iron out' the small glitches that all bring down the game.  After talking to other people about there views on this game, I decided that Assassins Creed is a game that either grabs you or   isn’t  that interesting at many points. I personally recommend that if you feel Assassins Creed looks impressive that you first rent out the game.]]>"
Assassin'creed,"<![CDATA[Assassin's Creed offers a unique blend of stunning graphic design, excellent voice acting and a very different, but complex storyline. There is an endless amount to do in the game that will leave you satisfied and hungry for more.   Assassin's Creed follows the tale of Altair, a highly skilled 12th Century assassin and his journey through the Holy Land, during the Crusades. You will encounter different environments in the cities you will visit: Acre, Damascus and Jerusalem. Each city is beautifully designed and rendered which will leave you speechless at how life like the cities are.  Each city is alive with a thriving populace and busy streets. In the cities you will encounter beggars, drunks, town guards and hardy Templar Knights; and of course the people going about their normal business. You must take into account the population when making your move on your target as the population can be your best friend or worst nightmare.  The visual quality of Assassin's Creed is one of its many strengths. Each city is enormous and is your's to explore--though most of the cities are cut down to districts which are unlocked as you progress through the story. Everything is beautifully textured from the ancient pottery to the exquisite rugs and detailed clothing on the citizens. Most walls can be scaled one way or another by Altair and you can jump gracefully from one building to another, and you can leap from high towers into bails of hay when the opportunity arises. This makes gives you an extremely fun alternative to running from the guards in the busy streets--why not take them to the roofs?  Moving around the roofs and in combat is easily mastered by the sleek controls also make the game very fun to play. It seems effortless to cut down guards and just running and climbing is extremely easy to master. Fighting the guards in close combat can be a tempting challenge but it becomes more difficult when you are being pursued by 10 or 15 guards who will encircle you and attack; fleeing from them and using your profound agility can help you fend off the guards, allowing you time to escape to the roofs where they will be no match for your speed.  Assassin's Creed's sound quality is one of the best to date for a game. Everything you will hear adds to the experience of being in a busy city. As you walk the streets, you will hear the cries of endangered citizens, their views on religion and politics, the pleas from desperate beggars and the ramblings of drunks all makes the citizens all the more interesting to interact with. The voice acting is also magnificent, each character is made their own thanks to the fantastic voice actors. Combined with this is a beautiful musical score. The subtle sounds of Middle-Eastern tones and harmonies brings the game to life and provides a unique blend of scores for the different situations that will arise.  The story is what binds the whole game together and makes it unique. The story is in two parts. One is centred around Desmond, descendant of Altair, who has been forcibly kidnapped by a researcher and is placed in a machine called and Animus, which withdraws Altair's memories from Desmond's mind. This is when you will begin to play as Altair, eliminating assassination targets sought by your Creed master. The story can be rather confusing at times and switching back to Desmond can some-what slow the pace of the game. The ending especially leaves you on a cliff hanger which opens doors for a possible sequel that will surely be on the table.  There are an endless amount of tasks to do in the game that will take you away from the main story for a short time. You have the opportunity to rescue citizens being bullied by the guards; you can climb tall towers to get a synchronized view of the cityscape and you can collect various flags which will eventually unlock some achievements. Each will grant you elusive benefits like vigilantes that will grab your pursuing enemies allowing you time to escape. Climbing ""View Points"" will also allow you a bird's eye view of the city and will reveal missions you must do to discover the location of your targets. These varied missions come in the form of eavesdropping on people's conversations, beating information out people and pick pocketing victims for more information on things like your target's position. All of this grants you opportunities to flex you stealth talents by creeping around gathering information on your prey and preparing your strike.  The game also gives you important choices to make: should you go in all knives blazing, or sneak in through the crowds of people and cunningly killing your foe with your hidden blade. You can use your throwing daggers to kill enemies from a distance or use your sword or short sword to kill them in close quarters. Each way has their own satisfying rewards, be it smooth gruesome combo kills or a sneaky knife in the back. Close combat can be risky business as killing innocent citizens will give you a severe loss of health which will hinder your confidence in a large fight.  Needless to say, stealth is your best option. You have the ability to sneak past guards by hiding among white-robed scholars or by blending into the crowd. However, knocking over crate and pot carriers will draw the guard's attention to you and or even drawing your weapon in public will make the guards draw their's in retaliation. This can lead to all sorts of problems whither it be trying to complete a mission or just getting from A to B. You may choose to stay and fight the guards off, but running to the roofs is a far more enjoyable experience as you can throw guards to their deaths from the rooftops or hide in the hay stacks or small gardens located there until the guards regroup and go back to their posts. It all adds to the game's immersive quality.  Assassin's Creed is one of those rare games that portrays how hard Montreal Studios has worked on this game. The graphics, especially in High-Definition are stunning and is the sound quality of the game. From the living and breathing cities, to the slick combat and free running qualities of the game, it provides a deeply satisfying experience that you will soon not forget.]]>"
Assassin'creed,"<![CDATA[ In Assassins Creed you play as Altair. You are part of a brotherhood of Assassins that are on a quest to protect the holy land from the invading crusaders. Assassins Creed is a game that will bring you along on a unique adventure unlike any other.  At this point if you have heard of Assassins Creed you know about the ""twist"". In reality you play Desmond who is a test monkey for some kind of evil cooperation. Extremely early in the game you find out that these mysterious scientists are holding you captive in order to get information on your ancestor, Altair. So therefore you must relive Altair's life in order to obtain the correct ""information"".  While playing you are thrust into one of three massive cities. Being as Assassin gives you the ability to scale buildings in a fashion that would put Spiderman to shame. Altair will fluidly scale massive towers grabbing rails and scaffolding without any hesitation. This is by far the best part of Assassins Creed; the platforming game play in this game completely elevate the genre and sets a new benchmark that will be tough be match and even harder to surpass.  While the cities themselves are a superb achievement the events going on within the city are rather disappointing. Whenever you go to a new part of the city you must follow a set routine. First you must get to a high point and survey the surrounding area. Secondly you must collect information on your target. In order to get this information you do one of four things. You can eavesdrop on chatty citizens to get the scoop. Pick pocketing an important document is another possible objective, or you can beat the information out of talkative individuals. While these three objectives make sense in terms of collecting information there is another type that make me confused. There are fellow assassins littered throughout the city that want you to complete objectives for them in exchange for information. However these objectives are so dumb; you either have to finish off their assassination duties for them, or collect the flags that they seem to misplace every single time you talk to them. This might not seem like much but I have one question, whats the point of collecting your stupid flags?  Regardless once you're done with those you have to go and assassinate your main target. These also seem to go by some sort of loose routine. You must find your target wade through the crowd of people and go in for the kill. Once everyone notices the corpse on the ground twenty guards show up to brawl. This brings me to my next topic of discussion, the combat. Early off in the game you spend most of the time mashing on the X button until dudes die. Eventually you will build up a repertoire of moves that will make you a very formidable opponent. However there is one move that seems a little overpowered, the counter attack just has you patiently guarding until someone on attacks you and you counter which gives you the one hit kill. Then you can just wait as each guard approaches you in an orderly fashion each eagerly awaiting their turn to review a good slash to the face.  While this is fun and exciting the first time around, you soon realize that this cycle will repeat a total of eleven times. Around the third time the cycle starts to become extremely tiresome. This is the major thing about Assassins Creed. Your tolerance to repeat this cycle will determine the amount of enjoyment that you will be able to get out of Assassins Creed. For most people I would recommend you borrow or rent this game first. Assassins Creed is not a game that is necessarily worth the sixty dollar price. In the end the amount of time you can stay immersed in the world will dictate how far you will go with this game. Whether or not you get to the end, everyone should at least experience this game. ]]>"
Assassin'creed,"<![CDATA[Assasin's Creed is a game with a great story, great locations, a good set of gameplay mechanincs and but a few minor annoyances.The game features two inter-linked story arcs: one set in the near future, and another nearly a thousand years a go. The main story (from an overall plot perspective, not the story most heavily featured) has your character Desmond captured by a scientific research organisation. There intentions are to use a device call 'the animus' to access your genetic memories (memories passed on from generation to generation through the gentic code) in order to find something. Entering in to these memories grants you control of Altaïr, an extremely agile 12th century assasin who caught in the holy land in the middle of the crusades. The majority of the game is then spent assasinating various targets for your master, Al Mualim, and learning of the connection that these men hold, bringing you closer to that which your modern day captors seek.For the most part, your main interaction comes from receieving targets from Al Mualim, leader of the Assasins Creed, and heading out to the city where they can be found. It is then your job to move about the city in order to gain an understanding of the surroundings and aquire information that will help you locate and kill your target. You do this by scalling tall towers, or 'view points', to spot where you can find information and then do a vaiety of tasks to get this information. These tasks include: eavsdropping on certain conversation, pick pocketing people for relevant maps and letters and helping other memers of the Creed in exchange for details they have already aquired. These tasks can prove to be fun, with individual dialogue accompanying each one - but the limited number of task types can feel repetitive towards the end of the game.Once you have learnt enough to locate the target your attentions then turn to the assasination. The target's location is added to your map, and can usually be found at some sort of public event. You watch a small in game scene, which helps flesh out your targets, before you can move in and kill them. Sometimes this will be a case of sneaking behind them to steathily take them down, and other times you will be spotted and have to chase the target down while the city guard attempt to stop you. After the assination you must escape to the local Assasins Bereau with the entire city on high alert, resulting in any time you are spotted you will be chased. Any time in the game that you are being chased you have to either fight and kill all of your pursuers or break their line of sight and then hide in a mound of hay, a roof garden or blend in with a group of scolars until the coast is clear.You repeat this formula for a number of targets, each one cryptically revealing more of the underlying plot. While the method is similar, each assasination has a unique situation and context to keep you interested on top of the ever developing story. The fighting in the game does a good job of enabling you to fend of multiple attackers, whose number genrally increases over the course of the game. Your main weapon here is your sword, while your hidden dagger, fists and to a lesser extenet your throwing knives/short sword are more suited to other situations. You can attack and block, and as you proceed though the game you learn to, amongst other thins, counter enemy attacks. The fighting is good, but later in the game I did feel that the game could allow you to be a little more aggressive, as you tend to rely mainly on counters to win battles. The free running is excellent, feeling smooth and fun to do. Climbing is well animated and manages to feel organic thanks to excellent level design, with movement only available is there is a ledge, crack or outcrop for Altaïr to grab on to. Sometimes, however, you may find that you cannot get Altaïr to move in the direction you want, despite having a route to move on, occasionally resulting in him leaping to his death instead of hopping across to the next hand hold. As mentioned at the start the scenery is breathtaking and each city is populated with thousands of citizens - creating an effective city atmosphere. There are three main huge cities to explore, with a large open 'world map' type area to cross on horseback to reach your destination. A nice feature is that later on you can skip the travelling between cities to help keep the story moving. The sound design is also strong with good set of voice acting, both in Desmond and Altaïr's world, and a suitable accompanying soundtrack which varies with location and level of tension/action.While some parts of this game may feel a bit repetitve, the visual design, the excellent game engine and a good, if not confusing, story to tie it together, more than make up for this. Even if the objectives get tiring, you can always run and leap across the rooftops or dive huge distances into a cart of hay because it is simply fun to do and watch. My only critisim of the game is that for all that it does well, it leaves you wishing that some of the repition  and other small annoyances had been dealt with to make a great game even better.]]>"
Assassin'creed,"<![CDATA[Ah what to say about Assassin's Creed well it is a beautiful experiance that will never be forgotten.But although in my top 5 games ever,it still has some bugs and it gets very repetitive to SOME but to me every kill was unforgettable.It is so satisfying to chop and break somebodys arm then slice there back.And all the boss assassination's are very fun to try and do it like a real assassin although I rarely could do that I just killed everybody but when you assassinate them it makes you go""Wow that freaking ruled!""And with the epic story it just gets better and better.The story sucks you in to the point where you are like what will happen next?And you keep thinking that for a while untill it ends but you are still thinking the same thing and I'm near 100% we'll get a answer.The graphics are superb and as of what I've seen there is no frame rate drops that I've saw.The controls are silky smooth....well not really because when you are jumping from building to building and so on and so on you will run into moments where you will miss what you are jumping on and it's just extremely frusterating.But my main hate in this game is the drunk hobo people that push you every time you walk by them and when you hit a guard although they should attack the drunks they attack you.Also sometimes I'll just be running and the guards will chase me.One thing people complained about was the realism,the realism is low because you can take on loads and loads of people at once.I said the controls were smooth but that doesn't work when I'm talking about riding the horse'es because you can run into a wall and get off and your horse just sits there making the noice that horse'es make and it is tough to get back on them and if you are being chased by some people in one of the small city's on the way to the bigger city's the horse can get stuck in little areas and your screwed.And also when you are going to the big city's at the begining you can't just skip to the place you have to ride a horse there and that is one of the most frusterating things to do in the game.Multiplayer:~~None~~Re-play Value:I usally bash games that have no multiplayer when it comes to replay value,but I honestly think 5 weeks after you beat Assassin's Creed you'll want to play it again.Not for the great story but to do those greatly satisfying assassinations.And killing people with swords is always fun.:)And maybe you didn't understand something in the story so you might want to re-play it again make a excuse.End It!:All in all this game is a buy.From the epic storyline to some amazing kills and I didn't mention this but it has some nice voice actors.]]>"
Assassin'creed,"<![CDATA[Ok assassins creed is one a game which will be remembered for a long time.Firsly the graphics are amazing, I think its the best graphical game to date, everything from Altair to the massive environment with leaves growing from trees tall buildings which dont lose texture and the many people populating the holy land not many of them copies of each other.The sound in assassins creed is excellent. great voice acting by all the characters, sword fights sound great and realistic, and one cool feature of the game is ramdom people say stuff when they see you running and climbling.Storyline wise is awsome. You actually play as two people, the game is actually set in the future and you are Desmond who is really an assassin 9he doesnt know it) and the main doctor who is experimentinng on him is a templer (the assassins arch rivels). Desmond can go back to his ancester memories which is where most of the game takes place.Gameplay of assassins creed is good. Basically you undergo a mission which turns out badly and you get stripped of your rank and all throughtout the game you are trying to restore it by doing other assassinations throught 3 cities in the holy land. Right the bit why people dont like this game is they say it is repetitive. well it is to some extend but you will want to play the game anyway to see how all the story pans out.The map is HUGE on assassins creed which provides awsome free roming experience where you can just kill guards for fun (which is one of the best features of the game).It doesnt really have any reply value but there is a ton of flags (420) to collect and templers to kill (60).Control wise is does it good job. you can easily climb any climbable surface at will just by holding down one button and the controls used for combat worked well too.Overall assassins creed is the best graphical game to date and it just proves how good next gen consoles are. I would recommand it to anyone. Seriously get this game!! ]]>"
Assassin'creed,"<![CDATA[A spiritual sequel to the Prince of Persia games of the last generation of consoles, Creed has a familiar feel but replaces the linearity with an open world, wall running and time control powers with an awesome free-running system, the fantasy setting with a science fiction one, and the mediocre combat with slightly different mediocre combat. Many have complained about the repetitive mission structure, and they're justified in doing so. There are only about half a dozen types of activities you can do than make up the bulk of the game, leaving the actual assassinating a little too infrequent. But it's not that big of a deal. I wish they could have fleshed out the whole investigating idea, and made it feel more like you were planning a highly delicate operation instead of just repeating some simple tasks before getting to go after your target, but I can't blame them too much when it's so fun just to play around in the world. If you don't like picking pockets and doing all the other assassin's chores, you only have to do some of it. If something's frustrating, you usually can ignore it and still move on with the game. Personally, I did every investigation, rescued every citizen, and climbed every vantage point. The game rewards you for doing so, giving you tips and maps that make the job a little easier and extra means to escape pursuers. I didn't collect all the flags though, because that would be tiresome and completely pointless, as all they unlock is achievements in the 360 version.Other problems people have is with the AI and combat that's all too easy once you learn the counter-kill. I agree that it's pretty ridiculous that you can get away with killing guards right in front of each other if you just pose like a monk while doing it, but once they do start chasing you, I was pretty impressed with how they kept up. Getting away from guards is about as fun a chase as there is in video games. Altair can climb and jump and do anything a human could conceivably do, and it's a unique sort of fun to use your awesome yet believable abilities to evade soldiers who can chase you almost anywhere. It is pretty lame how enemies only attack one at a time, but while it's too easy, I did have fun toying with enemies before dispatching them in a number of satisfying ways. The open space between cities was also a bit of fun to ride around in on a horse, and definitely gave off a Shadow of the Colossus vibe with the look of the environment. It's not really a spoiler to say that this game doesn't take place during the crusades, since it's revealed you're in a simulation during the near future right at the beginning. There are two plot threads, the crusade one which wraps up by game's end, and the future one that does a good job of stringing you along with little bits of information before leaving you hanging for the obvious sequel. It will be interesting to see where they go with that, I imagine it will take place at a different point in history, with perhaps the third game finally being all in the modern day. The voice acting is a bit repetitive, but otherwise the game sounds good, and looks good too. The look is very nice, and technically the world is very impressive, except for some pop up when outdoors and an inconsistent frame rate. What's odd is that it doesn't slow down, but speed up in a couple unique situations. It's not a big deal, just strange. Assassin's Creed isn't the completely amazing game it looked like it could have been from the trailers, but they definitely built a very promising foundation for the future.]]>"
Assassin'creed,"<![CDATA[Assassin's Creed. People have been raving about it ever since it was first announced. The first trailer implied that you would be able to kill anybody, and disappear into a random crowd as one of them. Showcasing some top notch AI, and amazing crowd gameplay mechaty on just who to trust. Is your leader really the man who should be leading? Or are the scum of the earth lying to you? The story in Assassin's Creed is really well told, at a pretty good pace.  Ubisoft Montreal decided to unload a big twist in the first five minutes of the game, but for those of you who don't know yet, we won't spoil anything for you. -SPOLIERS AHEAD- Just kidding.  The game kicks off with Altair not following the rules of the assassin's creed, so he is punished, and is stripped of all his rankings and equipment, and basically has to start of as a noob all over again. The assassin town of Masyaf, is attacked by Robert de Sable and his army. Afterwards, there are rumours of a traitor within the city, and without anything, Altair has to go and scope this guy out, and bring him to Al Mualim, the assassin leader. This is a tutorial mission, and shows you the basics of everything. nics, Assassin's Creed was prone to become one of gaming's best. Although, that's not particularly true, Assassin's Creed is still a refreshing, crisp, beautiful next gen experience, and is one of the best action games of 2007.   You play as Altair, a 12th century assassin. The holy land is being ravaged by war during the third crusade, and is being torn apart by corruption. As Altair, you are given a list of nine men, who really are a bad influence on the world, and you need to pick them all off one by one. That may sound totally shallow, but actually the story is very deep, as each man you kill just furthers your curiosi The controls in Creed are really inventive, as each face button is used to control Altair tediously. One button is used for looking around, and the two side face buttons are used to control Altair's hands. One controls his armed hand, and one controls his unarmed hand, which is used for gently pushing civilians out of the way. The bottom face button is used to control the speed of Altair's walking. When not holding down the right trigger, Altair is in low profile mode. This means that he'll walk at a normal pace, and not bump into anybody, and this is good for when you are trying to remain anonymous. When the right trigger is held down, Altair will start running, bump into people, but he will be the dangerous badass he's supposed to be. This is great when you are running from pursuers, attacking, or chasing down a target. There is a pretty good learning curve, but you should figure out how to kill pretty early in the game.  Each city in AC is huge, and full of life. Damascus, Acre, and Jerusalem are where you'll be doing all of your assassination missions. Each mission starts off with you speaking to the assassin bureau leader of that city about your target, and he'll tell you everything he knows about your target. He'll tell you stuff on where you can find witnesses, and where he thinks the target should be. He'll then give you leave to go, and find out when and where to strike. Climbing all the tallest areas is the best way to start, as it points out where witnesses will be. The mini missions are necessary in completing the mission, and these include pickpocketing, eavesdropping, and intimidating witnesses so they'll spill some juicy info. Pickpocketing has you following a guy for a little while, and pickpocketing at the right moment when he isn't looking. Eavesdropping has you sitting on a bench and listening to some guys talk it out, while intimidating has you best the living hell out of a guy. None of the three are particularly game sellers, but they get the job done by setting the mood and realism of the situations.  After doing two or three of those tasks, you may return to the bureau and let the dude know you know when and where and who to strike. Among arrival at the target, you'll witness some events that highlight just how twisted they are, and let you know that they need to die. After the cutscene, there'll be a few ways to kill your target, and the fun is picking which one to take. Either running through the crowd, or going around the side, or leaping on him from above, the choice is yours.  After you do your biz, you'll need to run from anybody who opposes you. The best way is booking it to the roofs, and then hiding in a roof garden. However, if you choose to take the streets, and get caught, Altair can really hold his own. The combat system is by far the best part of Assassin's Creed. When you have all your abilities, you'll be able to dodge attacks, break grabs, and counter moves defensively. The animations are super slick during the fighting, and Altair looks like he's been trained by the choreographer for the Matrix. Instead of explaining, just take a look.  Graphically, Assassin's Creed is really, really, really hot. The cities look absolutely phenomenal, the water is good, the character models are great, and the animations in climbing, fighting, and just plain moving are some of the best ever. Unfortunately, the frame rate in Creed is really sub par. When running from rooftop to rooftop, sometimes it will drop into the single digits. This is a little frustrating, since you are trying to be quick and smooth, and here, your character on screen is warping across the city. This only lasts a few seconds, and luckily, the framerate is silky smooth during the fight sequences, which is the best part of the game. Climbing is also unplagued by this issue. It's a real shame, though, that such a pretty game is f**ked up by a stuttering framerate.  Assassin's Creed sounds just as great as it looks, with some great voice acting from the smallest parts. Each line is hit perfectly, and people will talk about their daily lives to each other, and will say things like ""What the hell is he doing?"" as you bump into people, and climb up walls. The instrumental score is mostly original, and has a unique tone to it. It's orchestral, as well as digital.  There's really nothing else to say about Assassin's Creed, other than it's a great game with a few nagging flaws keeping it from perfection. After beating the 12 hour game, you'll stay away from it for awhile, and then come back when you're in the mood for killing. It's ideas are fresh, and are pulled off pretty well. There is really nothing else like Creed, so really give it a buy. You won't regret it.]]>"
Assassin'creed,<![CDATA[SO let me just say i reviewd Assassins creed 3 times now and this is how i feel after playing the game alot.So when I was at the store To take the orange box back because it didn't work they didn't have any so they said just pick out another game and I saw assassins creed and i was like hell ya and the clerk said its amazing and i poped it in and my hardrive was screwed up so i sat there with out saving for about 7 hours and was on the 6th mission. so i finialy got something to save the game one and i quit frankly couldn't stand another play thorough.So the story of assassins creed has you play as to people Altier and his descendant and the descendant story has you being tested in a lab kinda like a rat and you are linked back in time through some table to your ancester who is a selfih assassins who ends up screwing up a mission and is de rainked and has to earn his rank back by assassinating these people. the people you assassinate in assassins creed were real but had dissapered the story is ok in assassins creed but the second story as the descendant is just plane stupid and just ruiens the whole experince for you.THe sound is assassins creed is realy good the voice acting is agood and has its moments but there is one thing wrong all the gard people and civilians have the same voice and when your doing something tell you to stop acting like a kid wich is kinda anyoing and often results in me stabing themthe grpachis in assassins creed is prety amazing its so beautiful the characters look amazing the city is stellar and everything around you is quite beautiful. there is some minior things there is some glitches in the game like walking of the edge and there is about 4 more feet of invisible platform wich is kinda dissapointing.the game play is what sucks the side story has you literly talking to some people and laying down on some table. NOw as the assassin altier you go on these missions and pick pocket ease drop and visit your local assassins bural to get info then you get to climb high points to lean the area alot better then you go and watch your target do something stupid and sneak around him and kill him and escape from the city on hore back.thats bassicly all mission in the game and it gets realy boring you can go horse back but its boring you can walk around killing gards and do prety cool looking combat moves in the game you can alos climb buldings and leap of them to others and hide in some hay and blend with some monks t oalert the gards away and its so repditvie it just takes away the whole expreince and its rather lame..so overall the value is terrible the gameplay is absolutly terrible and boring and ign called this game one of the top 5 dissapointments and i couldn't agree less its absolutly broking the sound 9the graphics 9the gameplay 3the value 1the story 5overall 4.0 ]]>
